OCLC Number,WORLDCAT LINK,AUTHOR,AUTHOR URI,TITLE,MUSEUM #,IMPRINT,COUNTRY,DATE,CALL #(BIBLIO),LANG,Column1,,,,,,,
ocm50760008,http://www.worldcat.org/oclc/50760008,,,American Indian art calendar.,1506.G.1,"Phoenix, Ariz. : Kokopelli Press   Scottsdale, Ariz. : American Indian Art Magazine, ©1978-",azu,2005,"970.65 A51i, 2005 ",eng,,,,,,,,
ocm39129897,http://www.worldcat.org/oclc/39129897,"Lucero, Helen R., 1943- author.",http://viaf.org/viaf/18995476,"Chimaya weaving : the transformation of a tradition / Helen R. Lucero, Suzanne Baizerman.",1520.G.5,"Albuquerque : University of New Mexico Press, ©1999.",nmu,1999,F 805 .S75 L83 1999,eng,,,,,,,,
ocn926056420,http://www.worldcat.org/oclc/926056420,"Pinz, Regula  Author.",http://viaf.org/viaf/160389332,"Texperiment : textiles Gestalten mit Struktur, Form und Farbe / Regula Pinz. Swch.ch (Hrsg.)",1587.G.40,"Bern : Schulverl. Plus, 2009",sz ,2009,"970.6511 P56t, 2009 ",ger,,,,,,,,
ocm39129897,http://www.worldcat.org/oclc/39129897,"Lucero, Helen R., 1943- author.",http://viaf.org/viaf/18995476,"Chimaya weaving : the transformation of a tradition / Helen R. Lucero, Suzanne Baizerman.",1596.G.2,"Albuquerque : University of New Mexico Press, ©1999.",nmu,1999,F 805 .S75 L83 1999,eng,,,,,,,,
ocm730405162,http://www.worldcat.org/oclc/730405162,"Sweet, Ellen L.",http://viaf.org/viaf/83501263,Historic stage routes of San Diego County / Ellen L. Sweet and Lynne Newell.,1682.G.3,"Charleston, S.C. : Arcadia Pub., ©2011.",scu,2011,"979.401 S56h, 2011",eng,,,,,,,,
ocm39129897,http://www.worldcat.org/oclc/39129897,"Lucero, Helen R., 1943- author.",http://viaf.org/viaf/18995476,"Chimaya weaving : the transformation of a tradition / Helen R. Lucero, Suzanne Baizerman.",1874.G.1,"Albuquerque : University of New Mexico Press, ©1999.",nmu,1999,F 805 .S75 L83 1999,eng,,,,,,,,
ocm39129897,http://www.worldcat.org/oclc/39129897,"Lucero, Helen R., 1943- author.",http://viaf.org/viaf/18995476,"Chimaya weaving : the transformation of a tradition / Helen R. Lucero, Suzanne Baizerman.",1894.G.22,"Albuquerque : University of New Mexico Press, ©1999.",nmu,1999,F 805 .S75 L83 1999,eng,,,,,,,,
ocm04343382,http://www.worldcat.org/oclc/679349430,,,American Indian art magazine.,1911.G.3,"[Scottsdale, Ariz. : American Indian Art, Inc.]",azu,2013,BRAUN SERIALS - AME,eng,,,,,,,,
ocm55016013,http://www.worldcat.org/oclc/55016013,"Brody, J. J., author.",http://viaf.org/viaf/19740382,Mimbres painted pottery / J.J. Brody.,1948.G.1,"Santa Fe : School of American Research Press, ©2004.",nmu,2004,"970.6571 349, M696, B76mi, 2004",eng,,,,,,,,
ocm46364637,http://www.worldcat.org/oclc/46364637,"Loring, John.",http://viaf.org/viaf/22313783,Magnificent Tiffany silver / John Loring.,2000.4.1,"New York : Harry N. Abrams, 2001.",nyu,2001,NK 7198 .T5 L67 2001,eng,,,,,,,,
